Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
367397770311396,Penta - Zlepšujeme zdravotníctvo,Penta Investments,170,8
202736663810117,AZAH - Asociácia zábavy a hier,Asociácia zábavy a hier,170,5
101892719488324,Alexander Riabov,Alexander Riabov,170,24
572178032935323,Varga Tibor,SZÖVETSÉG - Magyarok. Nemzetiségek. Regiók. / ALIANCIA - Maďari. Národnosti. Regióny,169,3
1302786386541766,Metropolitný inštitút Bratislavy,Metropolitný inštitútut Bratislavy,169,7
115002971618390,Erich Stračina,Sloboda a Solidarita,167,7
1413679575545902,Megbecsültek Társasága,Spoločnosť uctievaných - Megbecsültek Társasága,165,5
193514507352190,Rulezz.sk,MARKETERS s.r.o.,163,51
938413666216392,Odborové združenie sestier a pôrodných asistentiek,OZ SaPA,163,7
46047258125,A4 - priestor súčasnej kultúry,"A4 – Asociácia združení pre súčasnú kultúru, o.z.",163,5
443163935751338,Košice - Mesto Košice,Mesto Košice,163,3
1400698413321687,Jozef Rajtár - Nádej na skutočnú zmenu,"Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana",161,5
527351247377965,European Committee of the Regions,European Committee of the Regions,159,55
110380365482267,Sergej Kára • Progresívne Slovensko,Progresívne Slovensko,158,1
1287561881391098,Jem pre Zem,Humánny pokrok,157,26
106390330706418,Irena Bihariová,Progresívne Slovensko,157,2
569734989747868,Poradňa pre občianske a ľudské práva / Center for Civil and Human Rights,Poradňa pre občianske a ľudské práva / Center for Civil and Human Rights,157,7
1466842326907769,Roma Spirit,Roma Spirit,156,21
1527856434120951,MySlovensko (or an alliterative: Myslovensko),MySlovensko (or an alliterative: Myslovensko),151,4
119846441218023,Martin Kollár - Modrí,"Modrí, Most - Híd",150,1
725379674198876,Milan Vetrák,Milan Vetrák,150,3
127726376896350,"Dana Žigová , poslankyňa MsZ mesta Martin","Dana Žigová , poslankyňa MsZ mesta Martin",146,9
