Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,3930,59
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,3880,51
163449818290,KDH,KDH,3255,41
309315359104222,Milan Majerský,KDH,2941,38
102146246492040,SMER - SSD,SMER - SD,2731,13
600235073447674,Sme rodina,Sme rodina,2637,51
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,"OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",1965,15
142965026500972,Michal Truban,Progresívne Slovensko,1761,35
557862947737785,Progresívne Slovensko,Progresívne Slovensko,1732,27
100686359349358,Martina Holečková,KDH,1204,16
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,1069,27
105321095696057,Modrí,Modrí,1009,50
1287561881391098,Jem pre Zem,Humánny pokrok,930,93
1928247723902365,Humánny pokrok,Humánny pokrok,844,27
873391256051903,PEPCO Slovensko,PEPCO Slovensko,789,33
825548020851519,To je nápad,"Dobré médiá, s.r.o.",611,26
186953775142661,ESET,"ESET, spol. s r.o.",607,12
522186401540084,Magyar Fórum - Maďarské fórum,Magyar Fórum - Maďarské fórum,572,24
409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR","Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",490,5
109669047774695,Brainee.sk,Mafra Slovakia a.s.,483,74
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,481,14
212517858839474,ZSE,"Západoslovenská energetika, a.s.",480,3
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,473,15
53390100905,INESS,INESS,451,25
184760561603680,Richard Sulik,Sloboda a Solidarita,428,13
101736658825990,Plán obnovy a odolnosti SR,Úrad vlády Slovenskej republiky,386,27
827195593969832,"Marius Pedersen, Slovensko",Marius Pedersen,374,4
141217272588202,Ministerstvo zahraničných vecí a európskych záležitostí SR,Ministerstvo zahraničných vecí a európskych záležitostí SR,355,5
102200698451761,Gyimesi György,Gyimesi György,344,5
178362315106,European Parliament,European Parliament,322,14
147166706140048,Martin Hojsík,Martin Hojsík,317,12
53798312370,EURACTIV.sk,EURACTIV.sk,258,38
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,253,5
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,247,17
732167026967322,Robert Fico,SMER - SD,242,7
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,240,4
103016189252551,Jaromír Šmátrala • Republika,Jaromír Šmátrala • Republika,232,2
2322076957827734,Ladislav Kamenický,SMER - SD,217,18
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,205,2
105947861630687,DEMDIS,DemDis,202,6
256241975019809,Erik Tomáš,HLAS - sociálna demokracia,199,7
107898832590939,European Commission,European Commission,193,3
194278021265803,Michal Šimečka • Progresívne Slovensko,Michal Šimečka • Progresívne Slovensko,187,2
2308492039426614,Úrad vlády Slovenskej republiky,Úrad vlády Slovenskej republiky,186,3
264610253564449,Hyundai Slovensko,Hyundai Motor Czech s.r.o.,185,2
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",182,10
396331590493376,Miroslav Žiak,Sloboda a Solidarita,175,1
104893459551069,Ekotopfilm SK,Ekotopfilm SK,174,9
802573516467334,Juraj Blanár,SMER - SD,171,14
290039217722349,Jarmila Halgašová - Kvalitné potraviny zo slovenských polí,Sloboda a Solidarita,162,21
117195501273420,Mali ešte žiť,OZ Pozostalí za spravodlivosť,160,21
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,150,6
829031324096235,Orosz Örs,Orosz Örs,150,1
1061086993931165,Petra Krištúfková,Sme rodina,149,48
344709529755622,SAPI,SAPI,140,26
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,135,4
935929019771603,Sconto Nábytok,These ads ran without a disclaimer,126,2
1555021474808039,Richard Takáč - poslanec NR SR,SMER - SD,124,10
231177683632352,Branislav Gröhling - Vzdelanie je budúcnosť krajiny,Sloboda a Solidarita,118,11
1632554420365677,Sóda,Sóda by O2 Slovakia,116,3
2001358070115171,Jaro Polaček,Jaroslav Polaček,116,11
193258414360612,Milan Uhrík • Republika,REPUBLIKA,109,6
348063062356711,Dobré rádio,"Dobré médiá, s.r.o",108,2
1552624815015371,SPP - distribúcia,SPP - distribúcia,107,3
210627929528194,Za našu vodu,OZ Za našu vodu,105,5
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,101,16
