region,name,link,title
BA,Martin Mlýnek,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_MlynekMartin.pdf,"Martin Mlýnek (PDF, 447 kB)"
BA,Ernest Németh,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_NemethErnest.pdf,"Ernest Németh (PDF, 6 MB)"
BA,Peter Novisedlák,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_NovisedlakPeter.pdf,"Peter Novisedlák (PDF, 826 kB)"
BA,Radoslav Olekšák,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_OleksakRadoslav.pdf,"Radoslav Olekšák (PDF, 1 MB)"
BA,Juraj Ondruška,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_OndruskaJuraj.pdf,"Juraj Ondruška (PDF, 144 kB)"
BA,Elena Pätoprstá,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_PatoprstaElena.pdf,"Elena Pätoprstá (PDF, 215 kB)"
BA,Juraj Petrakovič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_PetrakovicJuraj.pdf,"Juraj Petrakovič (PDF, 279 kB)"
BA,Iva Pipíšková,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_PipiskovaIva.pdf,"Iva Pipíšková (PDF, 119 kB)"
BA,Vladimír Píš,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_PisVladimir.pdf,"Vladimír Píš (PDF, 122 kB)"
BA,Igor Polakovič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_PolakovicIgor.pdf,"Igor Polakovič (PDF, 925 kB)"
BA,Ján Polakovič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_PolakovicJan.pdf,"Ján Polakovič (PDF, 11 MB)"
BA,Zuzana Rattajová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_RattajovaZuzana.pdf,"Zuzana Rattajová (PDF, 723 kB)"
