Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
109628675248068,JOJ 24,JOJ 24,70278,88
1185998661417403,Ivan Korčok,Ivan Korčok,43669,101
403027089864701,Peter Pellegrini,Peter Pellegrini,25668,257
254427098315,Tipsport SK,Tipsport SK,17241,21
104956759364215,Voľte s rozumom o.z.,Voľte s rozumom o.z.,9990,14
1009998019021765,Forró Krisztián,Forró Krisztián,8433,32
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,6267,3
571160823088196,Mladí proti fašizmu,"Mladí, o.z.",4562,4
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,4165,114
193258414360612,Milan Uhrík • Republika,REPUBLIKA,3975,11
70746153342,VÚB banka,VÚB banka,3600,3
238602509344380,Národná petícia,narodnapeticia.sk,3348,23
102146246492040,SMER - SSD,SMER - SD,3213,38
188067335135140,STRABAG Slovensko,Strabag Slovensko,3062,68
107898832590939,European Commission,European Commission,2637,150
557862947737785,Progresívne Slovensko,Progresívne Slovensko,2360,26
172396033788,MEMO 98,MEMO 98,2359,13
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,2276,12
1552624815015371,SPP - distribúcia,SPP - distribúcia,2093,8
163449818290,KDH,KDH,1994,65
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,1983,32
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,1848,43
170612431409,Televízne noviny TV Markíza,Televízne noviny TV Markíza,1838,44
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,1738,23
135805949177,FORTUNA stavte sa,FORTUNA stavte sa,1717,4
178362315106,European Parliament,European Parliament,1716,48
186953775142661,ESET,"ESET, spol. s r.o.",1696,32
171511222871512,Televízia JOJ,Televízia JOJ,1671,5
732167026967322,Robert Fico,SMER - SD,1625,9
106795542522284,Ján Kubiš,Ing. Ján Kubiš,1565,109
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,1546,49
100686359349358,Martina Holečková,Martina Holečková,1440,30
802573516467334,Juraj Blanár,SMER - SD,1432,25
1578280295823003,Nadácia ZSE,Nadácia ZSE,1383,14
102200698451761,Gyimesi György,Gyimesi György,1372,21
207289726707929,Milan Mazurek • Republika,REPUBLIKA,1173,4
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,1170,27
101069575386725,Slovensko Zálohuje,‍Správca zálohového systému n.o.,1158,4
284286428093450,Dôležité pre vašu budúcnosť,ivankorcok2024.sk,1028,4
741515582611947,KOŠICE:DNES,"KOŠICE: DNES ONLINE, družstvo",948,10
1461718484118285,Niké je tipovanie,Niké je tipovanie,895,13
185784721289451,Braňo Ondruš,Braňo Ondruš,848,8
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,841,30
2085101965139559,Infosecurity.sk,Infosecurity.sk,818,8
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",719,7
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,696,16
100892239952298,Televízia Markíza,TV Markíza,680,16
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,649,21
594790970995799,Miriam Lexmann,KDH,639,10
151962591495628,Richard Raši,HLAS - sociálna demokracia,613,24
2631817786833672,Michal Wiezik • Za zelenú Európu,Progresívne Slovensko,600,8
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,577,330
1928247723902365,Humánny pokrok,Humánny pokrok,571,124
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,552,2
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,550,3
277077069455,Transparency International Slovensko,Transparency International Slovensko,526,11
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,520,14
