Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
557862947737785,Progresívne Slovensko,Progresívne Slovensko,6862,28
104590499363251,Ľudovít Ódor,Progresívne Slovensko,3330,24
100171861388723,Branislav Becík,HLAS - sociálna demokracia,2341,18
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,1997,6
1057020590987528,Demokrati 2023,Demokrati,1911,20
193258414360612,Milan Uhrík • Republika,REPUBLIKA,1820,7
122074554119,EU Social,"Európska Komisia - Zamestnanosť, sociálne záležitosti a začlenenie",1645,8
102146246492040,SMER - SSD,SMER - SD,1094,12
178362315106,European Parliament,European Parliament,919,47
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,856,9
163449818290,KDH,KDH,784,20
100686359349358,Martina Holečková,Martina Holečková,713,14
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,692,44
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,675,3
161175350759976,Berényi József,Magyar Szövetség - Maďarská aliancia,649,7
184760561603680,Richard Sulík,Sloboda a Solidarita,609,8
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,600,7
829031324096235,Orosz Örs,Magyar Szövetség - Maďarská aliancia,578,7
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,549,30
1440322059428783,Chuť žiť,EDI Slovensko,451,5
1928247723902365,Humánny pokrok,Humánny pokrok,450,55
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,442,10
594790970995799,Miriam Lexmann,KDH,439,32
149858278219130,Paula Puškárová,HLAS - sociálna demokracia,421,17
732167026967322,Robert Fico,SMER - SD,400,2
172063082814030,Ministerstvo dopravy SR,SMER - sociálna demokracia,400,4
109628675248068,JOJ 24,JOJ 24,389,3
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,360,3
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,355,10
186953775142661,ESET,"ESET, spol. s r.o.",303,7
134263450503360,Veronika Ostrihonova,Progresívne Slovensko,299,2
147547541961576,Council of the European Union,Council of the European Union,285,9
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,270,158
100100868241799,Miroslav Suja • Republika,REPUBLIKA,266,1
101522455351569,Republika,REPUBLIKA,266,7
260530294113765,Milan Krajniak,Kresťanská únia,255,7
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,249,15
458474284588154,Volt Slovensko,Volt Slovensko,247,4
264096746779038,Ľubica Karvašová,Progresívne Slovensko,247,1
52904571954,Slovnaft,"Slovnaft, a.s.",240,2
288447254691571,Veronika Remišová,ZA ĽUĎÍ,220,5
237493046280813,Katarina Roth Nevedalova,SMER - sociálna demokracia,220,3
1183320988494283,Michal Považan - kandidát Kresťanskej únie do europarlamentu,Kresťanská únia,216,2
1632554420365677,Sóda,Sóda by O2 Slovakia,205,7
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,202,4
109324785240555,Loretta Pinke,HLAS - sociálna demokracia,198,6
265158886676854,Štefan Hamran,Demokrati,190,4
802573516467334,Juraj Blanár,SMER - SD,184,7
222635184246935,Boris Susko - minister spravodlivosti,SMER - SSD,180,4
207289726707929,Milan Mazurek • Republika,REPUBLIKA,178,1
100536961349558,Lívia Pavlíková - kandidátka č. 14 - Republika,REPUBLIKA,178,1
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,172,4
53390100905,INESS,INESS,167,4
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,162,6
"1,18633E+15",Viktorio.sk,Viktorio,158,10
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,157,7
105603301203054,Michal Bartek,Michal Bartek,153,10
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,150,1
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",147,27
2001358070115171,Jaro Polaček,Jaroslav Polaček,144,7
118995334628670,Jana Somorovská,Sloboda a Solidarita,134,11
105696625616469,Richard Glück,SMER - SD,121,5
102200698451761,Gyimesi György,Gyimesi György,116,4
101376491395473,Roman Mikulec,SLOVENSKO,114,2
108134068532405,Zdravotnícke správy,Zdravotnícke správy,112,5
2631817786833672,Michal Wiezik • Za zelenú Európu,Progresívne Slovensko,110,5
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,104,105
1464024763918594,Boris Kollar,Boris Kollar,103,4
