Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
557862947737785,Progresívne Slovensko,Progresívne Slovensko,7043,31
104590499363251,Ľudovít Ódor,Progresívne Slovensko,5168,62
178362315106,European Parliament,European Parliament,3985,56
102146246492040,SMER - SSD,SMER - SD,3706,24
829031324096235,Orosz Örs,Magyar Szövetség - Maďarská aliancia,3580,14
193258414360612,Milan Uhrík • Republika,REPUBLIKA,2835,68
100171861388723,Branislav Becík,HLAS - sociálna demokracia,2757,12
147166706140048,Martin Hojsík,Progresívne Slovensko,2515,112
1057020590987528,Demokrati 2023,Demokrati,2474,34
103165802469488,Ľuboš Micheľ - kandidát do Európskeho parlamentu č.7,HLAS - sociálna demokracia,2030,58
307556876112136,Peter Pollák,Hnutie SLOVENSKO,1734,8
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,1570,47
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,1539,21
732167026967322,Robert Fico,SMER - SD,1513,2
53390100905,INESS,INESS,1273,48
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,1151,7
111977983820589,Ján Ferenčák,Ján Ferenčák,1119,36
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,1074,9
122073187539321,Igor ŠIMKO - poslanec NRSR - HLAS Východniarov,HLAS - sociálna demokracia,1049,28
458474284588154,Volt Slovensko,Volt Slovensko,1027,21
288447254691571,Veronika Remišová,Hnutie Slovensko,1020,5
186953775142661,ESET,"ESET, spol. s r.o.",978,23
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,851,4
594790970995799,Miriam Lexmann,KDH,819,27
260530294113765,Milan Krajniak,Kresťanská únia,776,8
101211179319052,Pandy Péter,Magyar Szövetség - Maďarská aliancia,746,3
101522455351569,Republika,REPUBLIKA,702,19
149858278219130,Paula Puškárová,HLAS - sociálna demokracia,679,27
185784721289451,Braňo Ondruš,HLAS - sociálna demokracia,642,18
1928247723902365,Humánny pokrok,Humánny pokrok,602,59
161175350759976,Berényi József,Magyar Szövetség - Maďarská aliancia,594,11
324560137683033,Ivan ŠTEFANEC,KDH,586,22
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,573,23
207289726707929,Milan Mazurek • Republika,REPUBLIKA,562,4
2114282595319489,Za ľudí,Hnutie SLovensko,537,4
109324785240555,Loretta Pinke,HLAS - sociálna demokracia,527,21
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",517,8
100869382951964,Zdravý rozum,Zdravý rozum,504,18
634042709987309,Post Bellum SK / Príbehy 20. storočia,Post Bellum SK,500,2
163449818290,KDH,KDH,476,19
297516480111298,Andreas Rusnák • Progresívne Slovensko,Progresívne Slovensko,476,10
100686359349358,Martina Holečková,Martina Holečková,466,12
184760561603680,Richard Sulík,Sloboda a Solidarita,458,6
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,452,11
285438514655860,Peter Marušinec,HLAS - sociálna demokracia,423,8
2631817786833672,Michal Wiezik • Za zelenú Európu,Progresívne Slovensko,409,8
105131888394144,Team Bratislava,Team BA,403,20
267194289809508,Viliam Karas - podpredseda KDH a kandidát do EP,KDH,390,34
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,388,9
147547541961576,Council of the European Union,Council of the European Union,383,96
457124584400548,Rasťo TRNKA,Rastislav Trnka,364,4
134263450503360,Veronika Ostrihonova,Progresívne Slovensko,354,14
1183320988494283,Michal Považan - kandidát Kresťanskej únie do europarlamentu,Kresťanská únia,319,4
317931964732894,Patasi Ilona,Magyar Szövetség - Maďarská aliancia,315,4
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,303,13
133590787230331,Erik Kaliňák,SMER - SD,284,2
802573516467334,Juraj Blanár,SMER - SD,275,5
102200698451761,Gyimesi György,Gyimesi György,268,9
265158886676854,Štefan Hamran,Demokrati,260,4
429799293817559,Jana Žitňanská,Demokrati,254,3
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Slovenský PATRIOT,250,8
110198307912855,Marián Ďuriš • Republika,REPUBLIKA,249,9
1198279137015143,Zmudri.sk,Zmudri.sk,247,4
539774696135186,Klenovics Gábor,Magyar Szövetség - Maďarská aliancia,243,3
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,240,146
528116934384090,Mészáros Anikó,Magyar Szövetség - Maďarská aliancia,239,7
235962042941173,Vojtech Semeth - kandidát na poslanca Európskeho parlamentu,HLAS - sociálna demokracia,239,12
181549875554350,Stefan Lovas,Stefan Lovas,238,4
1402157100065393,Ľubomír Galko - kandidát na europoslanca,Hnutie SLOVENSKO,234,7
111871114747747,Mária Červeňová - kandidátka do Európskeho parlamentu č. 6 - KDH,KDH,231,7
1902930980016117,MY Regióny,"Petit Press, a.s., Divízia týždenníkov, o. z.",229,2
114240485988180,Gabriel Paľa - kandidát na poslanca do Európskeho parlamentu,KDH,226,18
103463285493111,Nezlomní,Marcel Rebro,215,6
236638762874127,Alena Novotná,KDH,207,6
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,203,6
151962591495628,Richard Raši,HLAS - sociálna demokracia,202,14
224835974056135,Jakub Berčík - kandidát na Europoslanca č.14 za KDH,KDH,197,18
237493046280813,Katarina Roth Nevedalova,SMER - sociálna demokracia,196,6
108134068532405,Zdravotnícke správy,Zdravotnícke správy,192,12
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,190,3
197450020128259,Lucia Yar • Kandidátka PS do Európskeho parlamentu,Progresívne Slovensko,184,10
212739502132886,Ján Figeľ - prvý slovenský eurokomisár,KDH,183,7
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,181,2
"1,11831E+15",Eugen Jurzyca,Sloboda a Solidarita,178,9
2096080187175376,Mag Fodor Enikő,Magyar Szövetség - Maďarská aliancia,176,3
584248208261545,Národný pochod za život,Národný pochod za život,171,4
100282046184754,Emil Mucha - kandidát na poslanca do Európskeho parlamentu,KDH,169,12
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,169,2
264096746779038,Ľubica Karvašová,Progresívne Slovensko,164,7
101376491395473,Roman Mikulec,SLOVENSKO,157,3
109628675248068,JOJ 24,JOJ 24,157,3
826305747496237,Igor Janckulík - poslanec NR SR,Igor Janckulík - poslanec NR SR,154,2
1632554420365677,Sóda,Sóda by O2 Slovakia,151,2
391017845719,Martin Poliačik,Progresívne Slovensko,148,12
112357895192364,Brunczlík Viktor,Magyar Szövetség - Maďarská aliancia,147,4
2687957954762822,Igor Melicher - Štátny tajomník Ministerstva obrany SR,SMER - SD,146,3
109624335274258,Köpöncei Péter,Magyar Szövetség - Maďarská aliancia,140,2
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,140,4
121028851094660,Ondrej Bafia - SMER SSD - kandidát do Európskeho parlamentu č. #13,SMER - sociálna demokracia,139,1
895419443967530,Erik Gemzický,HLAS - sociálna demokracia,138,7
2001358070115171,Jaro Polaček,Jaroslav Polaček,135,8
117243354720105,Zakrúžkuj ženu,Zakrúžkuj ženu,132,2
105064085082401,Dúhová stužka,"Saplinq, o.z",125,9
1552624815015371,SPP - distribúcia,SPP - distribúcia,125,5
278674792002881,Zoltán Marcinkó,Magyar Szövetség - Maďarská aliancia,122,1
111410950299518,Iván Tamás,Magyar Szövetség - Maďarská aliancia,121,7
328970650296916,Herbácskó Anita,Magyar Szövetség - Maďarská aliancia,116,2
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,116,65
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",116,14
108501111443753,Artur Bekmatov,Socialisti.sk,113,8
137616796101860,Spoločne občania Slovenska,Spoločne občania Slovenska,112,3
168426906521039,Konzervatívny inštitút M. R. Štefánika,Konzervatívny inštitút M. R. Štefánika,111,2
618167765286261,EDYN,EDYN n.o.,106,3
105696625616469,Richard Glück,SMER - SD,105,2
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,103,41
