Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,4385,68
557862947737785,Progresívne Slovensko,Progresívne Slovensko,2897,15
178362315106,European Parliament,European Parliament,2600,44
100171861388723,Branislav Becík,HLAS - sociálna demokracia,2461,13
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,1540,78
134871799897346,UNICEF Slovensko,Slovenská nadácia pre UNICEF,1496,2
104590499363251,Ľudovít Ódor,Progresívne Slovensko,1382,18
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,1230,12
829031324096235,Orosz Örs,Magyar Szövetség - Maďarská aliancia,1029,10
102146246492040,SMER - SSD,SMER - SD,956,14
458474284588154,Volt Slovensko,Volt Slovensko,906,21
53390100905,INESS,INESS,856,20
1057020590987528,Demokrati 2023,Demokrati,730,10
193258414360612,Milan Uhrík • Republika,REPUBLIKA,688,61
147547541961576,Council of the European Union,Council of the European Union,649,53
260530294113765,Milan Krajniak,Kresťanská únia,585,8
100686359349358,Martina Holečková,Martina Holečková,583,18
101379528135365,Vladimíra Marcinková,Sloboda a Solidarita,549,6
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,546,17
264096746779038,Ľubica Karvašová,Progresívne Slovensko,543,6
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,540,8
185784721289451,Braňo Ondruš,HLAS - sociálna demokracia,537,39
2631817786833672,Michal Wiezik • Za zelenú Európu,Progresívne Slovensko,501,12
594790970995799,Miriam Lexmann,KDH,498,20
163449818290,KDH,KDH,490,19
111977983820589,Ján Ferenčák,Ján Ferenčák,467,18
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,467,12
1928247723902365,Humánny pokrok,Humánny pokrok,452,36
105131888394144,Team Bratislava,Team BA,429,8
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,419,6
802573516467334,Juraj Blanár,SMER - SD,418,10
109628675248068,JOJ 24,JOJ 24,399,4
186953775142661,ESET,"ESET, spol. s r.o.",396,9
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,370,6
267194289809508,Viliam Karas - podpredseda KDH a kandidát do EP,KDH,368,17
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,360,3
161175350759976,Berényi József,Magyar Szövetség - Maďarská aliancia,334,10
103165802469488,Ľuboš Micheľ - kandidát do Európskeho parlamentu č.7,HLAS - sociálna demokracia,310,5
1402157100065393,Ľubomír Galko - kandidát na europoslanca,Hnutie SLOVENSKO,309,6
156379697555913,"Július Jakab - financie, fakty a dáta",Hnutie SLOVENSKO,300,2
307556876112136,Peter Pollák,Hnutie SLOVENSKO,294,1
1183320988494283,Michal Považan - kandidát Kresťanskej únie do europarlamentu,Kresťanská únia,280,4
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,264,8
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,261,8
147166706140048,Martin Hojsík,Progresívne Slovensko,246,6
207289726707929,Milan Mazurek • Republika,REPUBLIKA,244,2
110198307912855,Marián Ďuriš • Republika,REPUBLIKA,238,4
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,232,137
102200698451761,Gyimesi György,Gyimesi György,229,6
127792263918493,Televízia TA3,Televízia TA3,225,7
826305747496237,Igor Janckulík - poslanec NR SR,Igor Janckulík - poslanec NR SR,218,4
108134068532405,Zdravotnícke správy,Zdravotnícke správy,208,12
212517858839474,ZSE,"Západoslovenská energetika, a.s.",200,2
396331590493376,Miroslav Žiak,Sloboda a Solidarita,200,4
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,199,5
114240485988180,Gabriel Paľa - kandidát na poslanca do Európskeho parlamentu,KDH,193,11
539774696135186,Klenovics Gábor,Magyar Szövetség - Maďarská aliancia,188,3
118995334628670,Jana Somorovská,Sloboda a Solidarita,183,6
137616796101860,Spoločne občania Slovenska,Spoločne občania Slovenska,181,5
895419443967530,Erik Gemzický,HLAS - sociálna demokracia,180,5
122073187539321,Igor ŠIMKO - poslanec NRSR - HLAS Východniarov,HLAS - sociálna demokracia,177,9
168426906521039,Konzervatívny inštitút M. R. Štefánika,Konzervatívny inštitút M. R. Štefánika,171,3
324560137683033,Ivan ŠTEFANEC,KDH,170,14
288447254691571,Veronika Remišová,Hnutie Slovensko,163,3
112357895192364,Brunczlík Viktor,Magyar Szövetség - Maďarská aliancia,160,3
52904571954,Slovnaft,"Slovnaft, a.s.",154,2
109628675248068,JOJ 24,Televízia JOJ,144,1
288447254691571,Veronika Remišová,ZA ĽUĎÍ,140,7
265158886676854,Štefan Hamran,Demokrati,140,2
151962591495628,Richard Raši,HLAS - sociálna demokracia,140,15
111871114747747,Mária Červeňová - kandidátka do Európskeho parlamentu č. 6 - KDH,KDH,135,11
528116934384090,Mészáros Anikó,Magyar Szövetség - Maďarská aliancia,133,3
108501111443753,Artur Bekmatov,Socialisti.sk,130,13
328970650296916,Herbácskó Anita,Magyar Szövetség - Maďarská aliancia,127,1
251827211357220,Drab Melinda,Magyar Szövetség - Maďarská aliancia,126,2
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,124,8
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,117,95
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",115,19
107898832590939,European Commission,European Commission,113,22
282485898285178,Leo Havlíček,HLAS - sociálna demokracia,110,2
103570085607177,Juraj Gedra,SMER - SD,109,2
