Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
104590499363251,Ľudovít Ódor,Progresívne Slovensko,13247,81
557862947737785,Progresívne Slovensko,Progresívne Slovensko,9503,58
1928247723902365,Humánny pokrok,Humánny pokrok,8140,22
1057020590987528,Demokrati 2023,Demokrati,6989,65
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,6352,117
102146246492040,SMER - SSD,SMER - SD,5697,21
193258414360612,Milan Uhrík • Republika,REPUBLIKA,5458,75
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,3959,27
594790970995799,Miriam Lexmann,KDH,3722,31
100171861388723,Branislav Becík,HLAS - sociálna demokracia,3601,30
147166706140048,Martin Hojsík,Progresívne Slovensko,3345,183
109324785240555,Loretta Pinke,HLAS - sociálna demokracia,3263,48
288447254691571,Veronika Remišová,Hnutie Slovensko,3197,11
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,3180,71
260530294113765,Milan Krajniak,Kresťanská únia,2989,9
307556876112136,Peter Pollák,Hnutie SLOVENSKO,2989,11
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,2983,8
178362315106,European Parliament,European Parliament,2978,58
111977983820589,Ján Ferenčák,Ján Ferenčák,2931,54
184760561603680,Richard Sulík,Sloboda a Solidarita,2898,18
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,2881,10
149858278219130,Paula Puškárová,HLAS - sociálna demokracia,2809,54
103165802469488,Ľuboš Micheľ - kandidát do Európskeho parlamentu č.7,HLAS - sociálna demokracia,2808,44
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Slovenský PATRIOT,2579,33
100869382951964,Zdravý rozum,Zdravý rozum,2334,28
101211179319052,Pandy Péter,Magyar Szövetség - Maďarská aliancia,2303,4
267194289809508,Viliam Karas - podpredseda KDH a kandidát do EP,KDH,2287,42
172396033788,MEMO 98,MEMO 98,2247,20
829031324096235,Orosz Örs,Magyar Szövetség - Maďarská aliancia,2133,25
264096746779038,Ľubica Karvašová,Progresívne Slovensko,1993,30
212739502132886,Ján Figeľ - prvý slovenský eurokomisár,KDH,1923,19
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",1803,11
324560137683033,Ivan ŠTEFANEC,KDH,1743,31
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,1692,8
391017845719,Martin Poliačik,Progresívne Slovensko,1600,43
101522455351569,Republika,REPUBLIKA,1511,20
185784721289451,Braňo Ondruš,HLAS - sociálna demokracia,1381,22
197450020128259,Lucia Yar • Kandidátka PS do Európskeho parlamentu,Progresívne Slovensko,1321,12
163449818290,KDH,KDH,1314,37
297516480111298,Andreas Rusnák • Progresívne Slovensko,Progresívne Slovensko,1293,24
53390100905,INESS,INESS,1155,42
458474284588154,Volt Slovensko,Volt Slovensko,1121,24
122073187539321,Igor ŠIMKO - poslanec NRSR - HLAS Východniarov,HLAS - sociálna demokracia,1016,24
107898832590939,European Commission,European Commission,1000,1
895419443967530,Erik Gemzický,HLAS - sociálna demokracia,972,17
100268974859370,Miroslav Čellár,HLAS - sociálna demokracia,932,17
101376491395473,Roman Mikulec,SLOVENSKO,920,5
134263450503360,Veronika Ostrihonova,Progresívne Slovensko,860,17
101379528135365,Vladimíra Marcinková,Sloboda a Solidarita,829,4
618167765286261,EDYN,EDYN n.o.,794,5
161175350759976,Berényi József,Magyar Szövetség - Maďarská aliancia,742,17
114240485988180,Gabriel Paľa - kandidát na poslanca do Európskeho parlamentu,KDH,717,22
207289726707929,Milan Mazurek • Republika,REPUBLIKA,710,5
317931964732894,Patasi Ilona,Magyar Szövetség - Maďarská aliancia,705,4
1402157100065393,Ľubomír Galko - kandidát na europoslanca,Hnutie SLOVENSKO,695,10
732167026967322,Robert Fico,SMER - SD,687,2
101888632289095,Filip Urminský - kandidát na poslanca Európskeho parlamentu,HLAS - sociálna demokracia,684,5
2631817786833672,Michal Wiezik • Za zelenú Európu,Progresívne Slovensko,673,15
708006319284463,Janka Bittó Cigániková,Sloboda a Solidarita,665,5
1183320988494283,Michal Považan - kandidát Kresťanskej únie do europarlamentu,Kresťanská únia,661,9
186953775142661,ESET,"ESET, spol. s r.o.",633,16
"1,11831E+15",Eugen Jurzyca,Sloboda a Solidarita,632,41
118995334628670,Jana Somorovská,Sloboda a Solidarita,629,18
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,616,10
112357895192364,Brunczlík Viktor,Magyar Szövetség - Maďarská aliancia,595,9
2308634932743152,Socialisti,Socialisti.sk,550,20
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,547,15
1009998019021765,Forró Krisztián,Magyar Szövetség - Maďarská aliancia,515,16
109628675248068,JOJ 24,JOJ 24,496,4
121028851094660,Ondrej Bafia - SMER SSD - kandidát do Európskeho parlamentu č. #13,SMER - sociálna demokracia,486,2
100536961349558,Lívia Pavlíková - kandidátka č. 14 - Republika,REPUBLIKA,486,2
236638762874127,Alena Novotná,KDH,486,7
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,484,16
110198307912855,Marián Ďuriš • Republika,REPUBLIKA,433,11
100686359349358,Martina Holečková,Martina Holečková,424,9
235962042941173,Vojtech Semeth - kandidát na poslanca Európskeho parlamentu,HLAS - sociálna demokracia,403,10
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,391,10
141084572414530,Jan Ivanecky,Magyar Szövetség - Maďarská Aliancia,389,37
109624335274258,Köpöncei Péter,Magyar Szövetség - Maďarská aliancia,373,2
102200698451761,Gyimesi György,Gyimesi György,351,9
802573516467334,Juraj Blanár,SMER - SD,346,7
100282046184754,Emil Mucha - kandidát na poslanca do Európskeho parlamentu,KDH,340,12
224835974056135,Jakub Berčík - kandidát na Europoslanca č.14 za KDH,KDH,317,27
172063082814030,Ministerstvo dopravy SR,SMER - sociálna demokracia,300,3
133590787230331,Erik Kaliňák,SMER - SD,296,3
111871114747747,Mária Červeňová - kandidátka do Európskeho parlamentu č. 6 - KDH,KDH,294,7
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,293,8
2114282595319489,Za ľudí,Hnutie SLovensko,292,3
289194020934910,Katarína Surmíková Tatranská,Sloboda a Solidarita,292,18
105131888394144,Team Bratislava,Team BA,280,12
251827211357220,Drab Melinda,Magyar Szövetség - Maďarská aliancia,264,5
539774696135186,Klenovics Gábor,Magyar Szövetség - Maďarská aliancia,261,4
2096080187175376,Mag Fodor Enikő,Magyar Szövetség - Maďarská aliancia,260,4
237493046280813,Katarina Roth Nevedalova,SMER - sociálna demokracia,253,11
109590558726150,Monika Podhorány Masariková - Demokrati,Demokrati,240,2
108134068532405,Zdravotnícke správy,Zdravotnícke správy,214,13
151962591495628,Richard Raši,HLAS - sociálna demokracia,213,14
137616796101860,Spoločne občania Slovenska,Spoločne občania Slovenska,212,7
131722646680713,Richard Kráľovič,KDH,211,4
181549875554350,Stefan Lovas,Stefan Lovas,208,4
106167898761319,Lucia Francescato • Progresívne Slovensko,Progresívne Slovensko,200,4
102682042841004,Radka Wagingerová • SASKA,Sloboda a Solidarita,199,2
457124584400548,Rasťo TRNKA,Rastislav Trnka,199,3
109645017227628,Anna.Andrejuvova,Hnutie Slovensko,198,6
111410950299518,Iván Tamás,Magyar Szövetség - Maďarská aliancia,192,6
422452955216150,Znepokojené matky,Znepokojené matky,187,1
100860732924202,Marek Štefanisko • Progresívne Slovensko,Progresívne Slovensko,184,6
528116934384090,Mészáros Anikó,Magyar Szövetség - Maďarská aliancia,181,4
246238118725735,SOS/BirdLife Slovensko,SOS/BirdLife Slovensko,181,4
285438514655860,Peter Marušinec,HLAS - sociálna demokracia,177,4
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,170,4
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,168,4
103955061071909,Kotlebovci - Ľudová strana Naše Slovensko,Kotlebovci - Ľudová strana Naše Slovensko,168,2
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,166,5
135254893007496,Lukáš Bužo - poslanec NR SR,Hnutie Slovensko,164,2
105696625616469,Richard Glück,SMER - SD,164,4
1552624815015371,SPP - distribúcia,SPP - distribúcia,161,6
1632554420365677,Sóda,Sóda by O2 Slovakia,159,3
664771476880455,Anna Zaborska - Kresťanská únia,Kresťanská únia,150,1
584248208261545,Národný pochod za život,Národný pochod za život,139,5
863269347339459,Eva Hudecová,Kresťanská únia,134,2
127792263918493,Televízia TA3,Televízia TA3,133,8
168426906521039,Konzervatívny inštitút M. R. Štefánika,Konzervatívny inštitút M. R. Štefánika,133,1
1464024763918594,Boris Kollar,Boris Kollar,132,2
265158886676854,Štefan Hamran,Demokrati,130,2
111202290430870,Tomáš Meravý - Demokrati,Demokrati,127,1
282485898285178,Leo Havlíček,HLAS - sociálna demokracia,125,2
558882197954288,Kresťanská únia,Kresťanská únia,125,1
156379697555913,"Július Jakab - financie, fakty a dáta",Hnutie SLOVENSKO,123,1
110663575028193,Martin Winkler - váš župný a mestský poslanec za Staré Mesto,Martin Winkler - váš župný a mestský poslanec za Staré Mesto,121,4
136836609695627,PLUS 7 DNÍ,News and Media Holding a.s.,120,8
600235073447674,Sme rodina,Sme rodina,119,2
108494287234821,František Majerský - poslanec NRSR,František Majerský,119,4
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,117,8
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",108,12
309315359104222,Milan Majerský,KDH,107,3
1246198415483598,Milan Ftorek - Reštart Martina,Milan Ftorek - Reštart Martina,106,4
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,106,4
103423909228931,Erik Weiss,Erik Weiss,106,4
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,105,82
292020073995184,Slavomír Gregorík - zahraničný tajomník KDH,KDH,104,17
119078427952517,Sely Papan,Socialisti.sk,103,3
