Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
104590499363251,Ľudovít Ódor,Progresívne Slovensko,5445,68
571160823088196,Mladí proti fašizmu,"Mladí, o.z.",3321,15
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,3123,14
109324785240555,Loretta Pinke,HLAS - sociálna demokracia,2368,38
557862947737785,Progresívne Slovensko,Progresívne Slovensko,2321,21
594790970995799,Miriam Lexmann,KDH,2252,21
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,1826,20
307556876112136,Peter Pollák,Hnutie SLOVENSKO,1689,7
178362315106,European Parliament,European Parliament,1668,18
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,1561,15
1928247723902365,Humánny pokrok,Humánny pokrok,1535,13
260530294113765,Milan Krajniak,Kresťanská únia,1526,6
1057020590987528,Demokrati 2023,Demokrati,1462,27
829031324096235,Orosz Örs,Magyar Szövetség - Maďarská aliancia,1336,10
324560137683033,Ivan ŠTEFANEC,KDH,1134,24
100869382951964,Zdravý rozum,Zdravý rozum,1107,19
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",1068,8
193258414360612,Milan Uhrík • Republika,REPUBLIKA,1023,68
118645769886785,Klimatická koalícia,Klima Fokus,1000,1
101376491395473,Roman Mikulec,SLOVENSKO,964,4
708006319284463,Janka Bittó Cigániková,Sloboda a Solidarita,961,4
103165802469488,Ľuboš Micheľ - kandidát do Európskeho parlamentu č.7,HLAS - sociálna demokracia,886,12
185784721289451,Braňo Ondruš,HLAS - sociálna demokracia,883,12
111977983820589,Ján Ferenčák,Ján Ferenčák,868,28
149858278219130,Paula Puškárová,HLAS - sociálna demokracia,837,33
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,814,11
172396033788,MEMO 98,MEMO 98,793,29
53390100905,INESS,INESS,708,28
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Slovenský PATRIOT,707,21
555195954505858,SIEDAS,SIEDAS,701,16
264096746779038,Ľubica Karvašová,Progresívne Slovensko,693,19
267194289809508,Viliam Karas - podpredseda KDH a kandidát do EP,KDH,687,29
161175350759976,Berényi József,Magyar Szövetség - Maďarská aliancia,680,12
163449818290,KDH,KDH,600,12
100171861388723,Branislav Becík,HLAS - sociálna demokracia,551,12
2114282595319489,Za ľudí,Hnutie SLovensko,500,1
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,499,2
122073187539321,Igor ŠIMKO - poslanec NRSR - HLAS Východniarov,HLAS - sociálna demokracia,496,11
101211179319052,Pandy Péter,Magyar Szövetség - Maďarská aliancia,451,4
212739502132886,Ján Figeľ - prvý slovenský eurokomisár,KDH,446,12
1009998019021765,Forró Krisztián,Magyar Szövetség - Maďarská aliancia,439,10
