Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
193258414360612,Milan Uhrík • Republika,REPUBLIKA,1943,8
178362315106,European Parliament,European Parliament,1316,28
102146246492040,SMER - SSD,SMER - SD,1213,17
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,1069,2
557862947737785,Progresívne Slovensko,Progresívne Slovensko,920,12
107898832590939,European Commission,European Commission,914,74
186953775142661,ESET,"ESET, spol. s r.o.",881,17
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,853,1
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,729,11
109628675248068,JOJ 24,JOJ 24,672,6
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,659,9
732167026967322,Robert Fico,SMER - SD,600,3
104590499363251,Ľudovít Ódor,Progresívne Slovensko,527,16
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,498,38
100686359349358,Martina Holečková,Martina Holečková,462,16
1928247723902365,Humánny pokrok,Humánny pokrok,444,74
1632554420365677,Sóda,Sóda by O2 Slovakia,396,3
151962591495628,Richard Raši,HLAS - sociálna demokracia,357,24
163449818290,KDH,KDH,342,11
134871799897346,UNICEF Slovensko,Slovenská nadácia pre UNICEF,291,50
594790970995799,Miriam Lexmann,KDH,258,4
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,252,6
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,249,139
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,248,8
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,232,3
207289726707929,Milan Mazurek • Republika,REPUBLIKA,213,2
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,208,7
136836609695627,PLUS 7 DNÍ,News and Media Holding a.s.,207,12
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,182,3
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,181,4
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,174,5
225595329628,Plus JEDEN DEŇ,"News and Media Holding, a.s.",169,10
2631817786833672,Michal Wiezik • Za zelenú Európu,Progresívne Slovensko,167,5
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",164,3
110914051965554,MySlovensko,MySlovensko,150,2
102200698451761,Gyimesi György,Gyimesi György,140,5
307556876112136,Peter Pollák,Hnutie SLOVENSKO,138,3
370204800385466,"Saplinq, o.z.",PRIDE Košice,137,9
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,136,4
105696625616469,Richard Glück,SMER - SD,132,3
108134068532405,Zdravotnícke správy,Zdravotnícke správy,129,8
185784721289451,Braňo Ondruš,Braňo Ondruš,126,3
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,123,5
324560137683033,Ivan ŠTEFANEC,KDH,114,4
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,113,96
111202290430870,Tomáš Meravý - Demokrati,Demokrati,107,2
552717621530226,Alojz Hlina,Sloboda a Solidarita,104,10
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,103,2
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Slovenský PATRIOT,102,3
