Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
557862947737785,Progresívne Slovensko,Progresívne Slovensko,5149,26
107898832590939,European Commission,European Commission,3200,29
104590499363251,Ľudovít Ódor,Progresívne Slovensko,1997,24
193258414360612,Milan Uhrík • Republika,REPUBLIKA,1432,7
102146246492040,SMER - SSD,SMER - SD,1413,17
122074554119,EU Social,"Európska Komisia - Zamestnanosť, sociálne záležitosti a začlenenie",1279,12
186953775142661,ESET,"ESET, spol. s r.o.",1129,21
178362315106,European Parliament,European Parliament,1089,26
109628675248068,JOJ 24,JOJ 24,927,9
1057020590987528,Demokrati 2023,Demokrati,713,11
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,698,44
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,492,6
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,464,8
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,456,9
802573516467334,Juraj Blanár,SMER - SD,455,9
1928247723902365,Humánny pokrok,Humánny pokrok,453,54
163449818290,KDH,KDH,428,12
100686359349358,Martina Holečková,Martina Holečková,425,16
732167026967322,Robert Fico,SMER - SD,400,2
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,400,2
161175350759976,Berényi József,Magyar Szövetség - Maďarská aliancia,386,5
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,371,8
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,350,1
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,284,3
118995334628670,Jana Somorovská,Sloboda a Solidarita,277,13
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,270,6
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,258,150
105696625616469,Richard Glück,SMER - SD,213,4
207289726707929,Milan Mazurek • Republika,REPUBLIKA,209,3
498701220263973,Branislav Škripek,KDH,200,2
172063082814030,Ministerstvo dopravy SR,SMER - sociálna demokracia,200,2
594790970995799,Miriam Lexmann,KDH,194,21
2631817786833672,Michal Wiezik • Za zelenú Európu,Progresívne Slovensko,190,5
289194020934910,Katarína Surmíková Tatranská,Sloboda a Solidarita,187,26
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,181,6
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,179,6
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,171,4
105603301203054,Michal Bartek,Michal Bartek,170,8
52904571954,Slovnaft,"Slovnaft, a.s.",165,1
134871799897346,UNICEF Slovensko,Slovenská nadácia pre UNICEF,161,2
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,159,6
370204800385466,"Saplinq, o.z.",PRIDE Košice,154,9
829031324096235,Orosz Örs,Orosz Örs,150,1
1440322059428783,Chuť žiť,EDI Slovensko,149,4
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,147,1
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,139,5
324560137683033,Ivan ŠTEFANEC,KDH,137,6
2110271582402747,GeoCenter,These ads ran without a disclaimer,136,1
102200698451761,Gyimesi György,Gyimesi György,132,7
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",125,16
225595329628,Plus JEDEN DEŇ,"News and Media Holding, a.s.",124,8
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",121,3
307556876112136,Peter Pollák,Hnutie SLOVENSKO,120,2
111202290430870,Tomáš Meravý - Demokrati,Demokrati,112,3
457124584400548,Rasťo TRNKA,Rastislav Trnka,111,7
260530294113765,Milan Krajniak,Kresťanská únia,111,5
1243405345708614,Peter Cibulka - starám sa o Žilinu,Peter Cibulka,109,3
151962591495628,Richard Raši,HLAS - sociálna demokracia,108,9
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,106,93
111977983820589,Ján Ferenčák,Ján Ferenčák,105,12
