Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
104541799080705,Brinzik Angéla,Brinzik Angéla,173,3
225595329628,Plus JEDEN DEŇ,"News and Media Holding, a.s.",173,10
112242151814194,Cementáreň pre komunity,Cementáreň pre komunity,167,8
101764124720853,Zuzana Plevíková - poslankyňa NR SR,SMER - SD,165,13
2687957954762822,Igor Melicher - Štátny tajomník Ministerstva obrany SR,SMER - SD,165,4
45533785629,Nadácia Pontis,Nadácia Pontis,165,5
288680881434,Iniciatíva Inakosť,Iniciatíva Inakosť,154,3
100233499613453,Kamil Šaško,Kamil Šaško,151,19
109606527580798,Politics.social,Gerulata Technologies j. s. a.,150,1
676942185691820,Slovak Parcel Service,Slovak Parcel Service,150,2
212517858839474,ZSE,"Západoslovenská energetika, a.s.",150,1
169115336461939,Novinárska cena,Nadácia otvorenej spoločnosti – Open Society Foundation,147,4
277077069455,Transparency International Slovensko,Transparency International Slovensko,144,4
106014434867072,Technologies Unions Slovakia,Technologies Unions Slovakia,143,6
110389031408012,Magyar Szövetség,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",138,1
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,137,1
107898832590939,European Commission,European Commission,136,5
105321095696057,Modrí,Modrí,135,2
"1,44981E+15",My sme les,My sme les,135,7
111410950299518,Iván Tamás,Iván Tamás,134,8
634042709987309,Post Bellum SK / Príbehy 20. storočia,Post Bellum SK,133,1
185250998217953,Asociácia zamestnávateľských zväzov a združení SR (AZZZ SR),AZZZ SR,126,48
312015395620472,Asociácia na ochranu práv pacientov SR,Asociácia na ochranu práv pacientov SR,125,1
754760371297289,Starokatolíci v Bratislave,Starokatolici na Slovensku,119,3
227651274401732,Nemocnice Penta Hospitals Slovensko,Nemocnice Svet zdravia,115,2
102013346622578,Petržalka,Mestská časť Bratislava-Petržalka,109,3
299290007518897,Adnan AKRAM - Váš poslanec,Adnan AKRAM - Váš poslanec,108,8
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,108,6
370204800385466,"Saplinq, o.z.",PRIDE Košice,103,4
106666545678536,ozdravme.sk,ozdravme s.r.o.,102,4
1861438584151524,Checkbot,Checkbot,101,13
