VOLEBNÉ OBDOBIE,6,,,,
,,,,,
CENA HLASU,7.86,,,,
,,,,,
PRÍSPEVKY ZA HLASY,2012,,,,
SMER - SD,8915440.8,,,,
KDH,1771337.46,,,,
OĽaNO,1717700.82,,,,
MOST - HID,1384051.68,,,,
SDKU-DS,1224147.84,,,,
SaS,1181090.76,,,,
SNS,915061.2,,,,
SMK - MKP,860536.38,,,,
,,,,,
PRÍSPEVKY NA ČINNOSŤ,2012,2013,2014,2015,2016
SMER - SD,557215.05,2228860.2,2228860.2,2228860.2,1671645.15
KDH,110708.59,442834.37,442834.37,442834.37,332125.77
OĽaNO,107356.3,429425.21,429425.21,429425.21,322068.9
MOST - HID,86503.23,346012.92,346012.92,346012.92,259509.69
SDKU-DS,76509.24,306036.96,306036.96,306036.96,229527.72
SaS,73818.17,295272.69,295272.69,295272.69,221454.52
SNS,57191.33,228765.3,228765.3,228765.3,171573.98
SMK - MKP,53783.52,215134.1,215134.1,215134.1,161350.57
,,,,,
PRÍSPEVKY NA MANDÁT,2012,2013,2014,2015,2016
SMER - SD,1218300,1461960,1461960,1461960,243660
KDH,314400,377280,377280,377280,62880
OĽaNO,314400,377280,377280,377280,62880
MOST - HID,255450,306540,306540,306540,51090
SDKU-DS,216150,259380,259380,259380,43230
SaS,216150,259380,259380,259380,43230
SNS,-,-,-,-,-
SMK - MKP,-,-,-,-,-
