CENA HLASU,1.99,,,,
,,,,,
PRÍSPEVKY ZA HLASY,2002,,,,
HZDS,1116691.89,,,,
SDKU,864276.04,,,,
SMER,770961.96,,,,
SMK,639452.3,,,,
KDH,472419.84,,,,
ANO,458691.5,,,,
KSS,362222.66,,,,
P SNS,209288.99,,,,
SNS,190466.04,,,,
HZD,187858.99,,,,
,,,,,
PRÍSPEVKY NA ČINNOSŤ,2002,2003,2004,2005,2006
HZDS,93057.66,279172.97,279172.97,279172.97,116322.07
SDKU,72023,216069.01,216069.01,216069.01,90028.75
SMER,64246.83,192740.49,192740.49,192740.49,80308.54
SMK,53287.69,159863.08,159863.08,159863.08,66609.61
KDH,39368.32,118104.96,118104.96,118104.96,49210.4
ANO,38224.29,114672.87,114672.87,114672.87,47780.36
KSS,30185.22,90555.67,90555.67,90555.67,37731.53
P SNS,17440.75,52322.25,52322.25,,
SNS,15872.17,47616.51,47616.51,65057.26,19840.21
HZD,15654.92,46964.75,46964.75,46964.75,19568.65
,,,,,
PRÍSPEVKY NA MANDÁT,2002,2003,2004,2005,2006
HZDS,199163.51,597490.54,597490.54,597490.54,248954.39
SDKU,154904.95,464714.86,464714.86,464714.86,193631.19
SMER,138308,414923.99,414923.99,414923.99,172884.99
SMK,110646.4,331939.19,331939.19,331939.19,138308
KDH,82984.8,248954.39,248954.39,248954.39,103731
ANO,82984.8,248954.39,248954.39,248954.39,103731
KSS,60855.52,182566.55,182566.55,182566.55,76069.4
P SNS,-,-,-,-,-
SNS,-,-,-,-,-
HZD,-,-,-,-,-
