CENA HLASU,8.83,,,,
,,,,,
PRÍSPEVKY ZA HLASY,2016,,,,
SMER - SD,6511957.23,,,,
SaS,2786377.14,,,,
OĽaNO - NOVA,2539605.13,,,,
SNS,1990158.38,,,,
Kotleba - ĽS Naše Slovensko,1852348.57,,,,
SME RODINA - Boris Kollár,1526353.8,,,,
MOST - HID,1497506.19,,,,
#SIEŤ,1290990.15,,,,
KDH,1138257.64,,,,
SMK - MKP,931520.85,,,,
,,,,,
PRÍSPEVKY NA ČINNOSŤ,2016,2017,2018,2019,2020
SMER - SD,406997.33,1627989.31,1627989.31,1627989.31,1220991.98
SaS,174148.57,696594.29,696594.29,696594.29,522445.71
OĽaNO - NOVA,158725.32,634901.28,634901.28,634901.28,476175.96
SNS,124384.9,497539.6,497539.6,497539.6,373154.7
Kotleba - ĽS Naše Slovensko,115771.79,463087.14,463087.14,463087.14,347315.36
SME RODINA - Boris Kollár,95397.11,381588.45,381588.45,381588.45,286191.34
MOST - HID,93594.14,374376.55,374376.55,374376.55,280782.41
#SIEŤ,80686.88,322747.54,322747.54,322747.54,242060.65
KDH,71141.1,284564.41,284564.41,284564.41,213423.31
SMK - MKP,58220.05,232880.21,232880.21,232880.21,174660.16
,,,,,
PRÍSPEVKY NA MANDÁT,2016,2017,2018,2019,2020
SMER - SD,868283.33,1041940,1041940,1041940,86828.33
SaS,456216.67,547460,547460,547460,45621.67
OĽaNO - NOVA,419425,503310,503310,503310,41942.5
SNS,331125,397350,397350,397350,33112.5
Kotleba - ĽS Naše Slovensko,309050,370860,370860,370860,30905
SME RODINA - Boris Kollár,242825,291390,291390,291390,24282.5
MOST - HID,242825,291390,291390,291390,24282.5
#SIEŤ,220750,264900,264900,264900,22075
KDH,0,0,0,0,0
SMK - MKP,0,0,0,0,0
