Strana,FB Účty,Google účty,Kandidátne listiny,Majetkové priznania,Záverečné správy,Kampaň,Predkampaň
OĽaNO,"150674111712306, 147000705336065, 168813446552680, 156395481064391, 109605918855025, 103898804596668, 101376491395473, 100332826463662, 884043258427382, 307556876112136, 272361053251921, 1160570887436410, 103154629250890, 1977234279243100, 113183660338038, 106928604178291, 107436234138591, 100913749294471, 106742277534093, 725379674198876, 136331822887094, 1957747224285700, 106894061499175, 111221238373297, 100703489760081, 103303331281954, 100813098783364, 113061480214396, 103972188462494, 105299919293775, 874666142571575, 1650953941825108, 100746835456844, 306217430051254, 108228804697407, 1851504675124369, 101415754749459, 109874620495740, 103189369538437, 101795462016812, 105738772328552, 1977234279243101, 104597817688561, 1160570887436415, 251522014921848, 467066839986458, 175347779702238, 109381580612435, 116494478175334, 1276292009176314","AR15753204468449017857, AR05948289221151162369",https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_05.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report266.pdf,2029183.87,957245.96
Pirátska strana,565346557262681,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_01.pdf,https://cms.transparency.sk/wp-content/uploads/TIS_majetkove_Zuzana_Subova_Pirati_2023.pdf,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report259.pdf,22467.9,9429.18
PS,"557862947737785, 194278021265803, 117754892955994, 142965026500972, 105697221132872, 113345716746560, 2259255957732716, 622124591472787, 102696185988354, 174150095983441, 742265262782678, 132353247111236, 121054327672585, 113034513428949, 112659788539240, 121054327672585, 951009345100113, 115022806551437, 110380365482267, 951009345100113, 109324335324272, 2631817786833670, 121852557676697, 106390330706418, 100239576512840, 113045060174860, 727217163998866, 109419223831777, 607273593072934, 105797224238738, 2631817786833672, 110676372052968, 100860732924202, 118178417954606, 267456060571592, 107945597320615, 108389862274436, 106167898761319, 155962418300999, 107350108679199, 555552344887058, 2085197845105229, 255988405056208, 104343811860758, 100982391340470, 106908331880924, 1664533523674012","AR01131051050099277825, AR02511563077879595009, AR10817435198711398401",https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_03.pdf,https://cms.transparency.sk/wp-content/uploads/PS_Simecka_majetkove-2.pdf,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report283.pdf,1841839.14,555064.13
Republika,"101522455351569, 193258414360612, 207289726707929, 110198307912855, 103016189252551, 103192309541650, 118920697801104, 111630235350587",,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_25.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report209.pdf,809805.81,194658.74
SaS,"71030757230, 107264447436170, 281532302344709, 396331590493376, 1075981519276261, 290039217722349, 231177683632352, 708006319284463, 114997360138547, 184760561603680, 104209377829196, 552717621530226, 978554185546219, 766954990034296, 101046366328818, 107946164147019, 101379528135365, 56934005952, 179539541347, 108840878630655, 110572351825824, 336693806455466, 234030556972158, 333036367253278, 118669131189206, 112845655237850, 865682926924151, 119207254432872, 100708224727843, 115002971618390, 167715069957209, 106830922161712, 518341571589154, 134110776449152, 108755105584087, 394753093974063, 107363274909764, 114145753581158, 301188353351405, 1655476864528931, 101236575977991, 100975585221091, 233025170967044, 111406050376515, 101733132743442, 238750306307024","AR10706885901608288257, AR07186326669643218945",https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_12.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report239.pdf,1504767.45,518858.09
SDKÚ,113578535177556,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_20.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report178.pdf,6000,0
Sme Rodina,"600235073447674, 1061086993931165, 427164051018545, 100274659672613, 260530294113765, 103333988977745, 1061086993931160, 171308816244263, 107612849000660, 1479422315472843, 101278961547574, 1044358329012147, 111313685327433, 106954762500233, 1295226707169577, 1464024763918594","AR10321757764723933185, AR02479951293947314177",https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_13.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report262.pdf,2016407.87,345297.99
Smer,"102146246492040, 732167026967322, 1555021474808039, 802573516467334, 2322076957827734, 237493046280813, 889169094587556, 116795486378224, 133590787230331, 2687957954762822, 101764124720853, 104856174769143, 1643155275828458, 822009714820627, 587016641709920, 102758272021092, 104856174769143, 101477182726230, 100472733014292, 1555021474808030, 2114747078615090, 108501111443753, 1643155275828450, 2308634932743152, 110960838672051, 105696625616469, 359895461548541, 102926425021028, 634861423285501, 250640235386726, 368300739998539, 121028851094660, 103570085607177, 123320987524033, 2114747078615092",AR06649775956045070337,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_16.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report175.pdf,2490877.7,458027.57
SNS,"121130481252381, 1495199624026639, 102227341615671, 730919327293761, 108184912015398, 102232092476868, 110432107808548, 346219646219978, 367380017436383, 113311448409180, 106070962535594, 350597169475647, 1472346096243480, 1561537624137007, 1472346096243480",,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_15.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report023.pdf,1018226.49,266707.93
SOS,101885812962862,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_04.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report152.pdf,3626.34,0
Spravodlivosť,295474380481252,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_10.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report267.pdf,6507.95,0
SRDCE,106102248424669,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_19.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report059.pdf,135769.63,429.6
Za Ľudí,"288447254691571, 105330172030395, 2114282595319489, 2114282595319480, 103334034693985, 352917354804040",,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_05.pdf,https://cms.transparency.sk/wp-content/uploads/TIS_majetkove_2023_Remisova.pdf,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report290.pdf,403553.78,5935.54
SHO,,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_11.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report289.pdf,0,0
VB,,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_08.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report278.pdf,0,0
Princíp,,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_02.pdf,,,0,0
